,Unnamed: 0,date,sentiment_score,content,source,real_date
0,152,2019-01-01,0.946314,【中国中车：中车长江公司与加蓬客户签订敞车供销合同】中车长江集团长江公司与加蓬客户签订敞车供销合同。中车长江公司以市场需求为导向，聚焦客户个性化需求，坚持产品、技术和服务相结合，为客户实现长期利益最大化提供了系统解决方案。,sina,2019-01-01
1,138,2019-01-01,0.946314,【中国中车：中车长江公司与加蓬客户签订敞车供销合同】中车长江集团长江公司与加蓬客户签订敞车供销合同。中车长江公司以市场需求为导向，聚焦客户个性化需求，坚持产品、技术和服务相结合，为客户实现长期利益最大化提供了系统解决方案。,wallstreetcn,2019-01-01
2,2380,2019-01-08,0.633473,云财经讯，基建增速底部企稳，以及铁路投资回暖，在A股市场掀起涟漪，衍生为盘面上的财富效应。昨日高铁板块强势爆发，鼎汉技术、祥和实业等多只股票集体涨停，中国铁建、中国交建、中国中车等前几日尽管已经率先上涨，昨日依然不遑多让受到资金欢迎。市场人士认为，2019年高铁新开工提速，铁路货运增量计划促进“公转铁”加速，高铁行业仍具成长性，高铁板块业绩表现有望带来惊喜。（中国证券报）,yuncaijing,2019-01-08
3,11147,2019-01-19,0.9544889999999999,【央企结构调整ETF上市，长期配置价值引机构热捧】 1月18日，华夏、博时和银华3家公募基金旗下的央企结构调整ETF同时挂牌上市。从3只央企结构调整ETF公布的十大重仓股来看，中国石油、中国中铁、中国石化和中国中车等大型央企均榜上有名。业内人士认为，央企结构调整指数的投资价值还包括三大方面：首先，企业体制改善以及运营效率的提升会提供盈利改善的长期机会；其次，新经济龙头中的部分央企在经济平稳运行过程中，将凸显出“强者恒强”的增值机会；第三，随着政策的逐一落地，优质央企能够更快获得二级市场的价值发现和重估的事件性投资机会。（上证报）,wallstreetcn,2019-01-19
4,5704,2019-01-20,0.96044,【中国中车：轨交景气度提升 轨交装备龙头乘势启航】“中国中车”601766投资要点：动车组招标稳中有升，动车组高级修助力业绩增长。2018年高铁新增通车里程达到4100公里，同比增长87.90%；全年动车组的招标量达到了343列，同比增长约为10.29%。同时，2018年铁总启动了时速160公里动力集中电动车组的首次招标，招标量为46组。（财富证券）,eastmoney,2019-01-20
5,12225,2019-01-22,0.137675,【近500亿央调ETF持仓曝光，有基金重仓中国中车超27%】据四季报，3只基金的股票投资仓位均已超过87%。但有意思的是，虽然3只基金跟踪同一个指数，基金重仓情况却不一致，且和指数成分表也有较大差异。其中银华央企结构调整ETF重仓中国中车超27%，3只基金重仓中国石油也均超过15%。,wallstreetcn,2019-01-23
6,9917,2019-01-22,0.137675,【近500亿央调ETF持仓曝光，有基金重仓中国中车超27%】据四季报，3只基金的股票投资仓位均已超过87%。但有意思的是，虽然3只基金跟踪同一个指数，基金重仓情况却不一致，且和指数成分表也有较大差异。其中银华央企结构调整ETF重仓中国中车超27%，3只基金重仓中国石油也均超过15%。,sina,2019-01-23
7,10954,2019-01-23,0.9601649999999999,【3只央企结构调整ETF超配中石油、中车 建仓期大幅跑输基准】公募基金2018年四季报显示，处在建仓期的博时央调ETF、华夏央调ETF、银华央调ETF大幅超配中国石油和中国中车，对海康威视等配比不足。受此影响，3只央企结构调整ETF建仓期内大幅跑输基准。季报显示，报告期内，华夏央调ETF跑输基准11.79%，博时央调ETF跑输基准12.53%，银华央调ETF跑输基准5.04%。（中证网）,sina,2019-01-23
8,6683,2019-01-23,0.9601649999999999,【3只央企结构调整ETF超配中石油、中车 建仓期大幅跑输基准】公募基金2018年四季报显示，处在建仓期的博时央调ETF、华夏央调ETF、银华央调ETF大幅超配中国石油和中国中车，对海康威视等配比不足。受此影响，3只央企结构调整ETF建仓期内大幅跑输基准。季报显示，报告期内，华夏央调ETF跑输基准11.79%，博时央调ETF跑输基准12.53%，银华央调ETF跑输基准5.04%。（中证网）,eastmoney,2019-01-23
9,2530,2019-01-25,0.9855709999999999,为加快培育具有全球竞争力的世界一流企业，国资委今天宣布，选择航天科技、中国石油、国家电网、中国三峡集团、国家能源集团、中国移动、中航集团、中国建筑、中国中车集团、中广核，共10家企业作为创建世界一流示范企业。,10jqka,2019-01-25
